id,sent,open
10951183,20150909,
10951193,20150909,20150909
10946334,20150819,
10950346,20150904,20150904
10950560,20150804,
10961842,20151014,
10950085,20150903,20150903
10949923,20150702,
10949722,20150902,20150902
10949514,20150901,
10949519,20150901,20150912
10960459,20150924,20150924
10949460,20150601,
10949489,20150901,20150901
10947373,20150824,20150825
10947465,20150824,
10948249,20150826,
10948384,20150828,
10948471,20150828,
10947565,20150824,
10948676,20150828,
10948298,20150526,
10947716,20150824,20150824
10948098,20150826,
10948129,20150826,20150826
10948147,20150526,
10947727,20150526,
10948217,20150826,
10904649,20150420,
10941568,20151105,20151106
10394216,20111128,
10413653,20110725,
10873237,20150106,
10820414,20140915,
10473594,20120128,
10785414,20140623,20140623
10912351,20151007,
10908841,20150629,
10773410,20140311,
10837191,20141110,
10410463,20110910,
10918855,20150721,
10738170,20131211,
10882199,20150328,
10394608,20120123,
10972386,20151030,
10613950,20140120,20140120
10650380,20140125,
10945416,20150519,
10938112,20150818,20150818
10939763,20150728,20150728
10934103,20150716,
10934167,20150714,
10749456,20140109,
10889211,20150224,20150224
10938705,20150724,20150724
10938710,20150423,20150423
10943677,20150813,20150813
10929385,20150624,
10939834,20150427,
10942669,20150810,
10636719,20120128,
10774642,20141216,20141216
10937875,20150422,
10937879,20150422,20150423
10931316,20150701,20150701
10931316,20151105,20151105
10930050,20150626,
10944603,20150813,20150813
10933396,20150708,20150709
10930657,20150630,
10831436,20150921,
10949571,20150601,
10936194,20150414,20150414
10939545,20151002,
10928761,20150623,20150623
10784913,20150122,
10654817,20140206,
10939869,20150728,20150728
10939870,20150427,20150427
10936753,20150716,
10936758,20150716,20150716
10882951,20141001,20141001
10882951,20151021,20151109
10928788,20150623,
10928218,20150622,20150622
10953633,20150917,20150917
10944894,20150917,
10941867,20150805,
10933200,20150708,
10939308,20150728,
10939308,20151030,
10931787,20150703,
10945197,20150917,
10788120,20141229,20141229
10915598,20141115,
10798424,20150214,20150214
10939600,20150731,20150731
10975882,20151201,20151201
10935554,20150716,20150716
10924892,20150610,
10930107,20150629,
10938899,20150818,
10938325,20150724,20150724
10946753,20150821,20150827
10939947,20150731,
10940698,20150731,
10937246,20150721,20150721
10943457,20150813,20150820
10943465,20150813,
10942500,20150806,
10942500,20150924,20150928
10932821,20150708,
10934460,20150714,20150714
10930288,20150629,
10931545,20150702,
10929974,20150626,
10929975,20150626,20150627
10930022,20150716,
10924712,20150610,20150611
10924712,20150909,20150909
10928872,20150623,20150623
10928939,20150630,20150701
10928946,20150324,
10873590,20150207,
10926104,20150616,
10939374,20150727,
10935405,20150414,20150414
10932431,20150706,
10934087,20150909,20150909
10931033,20150630,
10928360,20150622,
10925001,20150316,
10944226,20150813,
10927671,20150619,
10927685,20150619,20150621
10939720,20150728,20150728
10940984,20150731,
10936523,20150716,
10827830,20140812,
10937021,20150721,
10928573,20150622,
10928584,20150622,
10928584,20151014,
10933299,20150708,
10909784,20150430,
10924413,20150310,
10923111,20150616,20150616
10928706,20150623,
10925761,20150716,
10939156,20150424,
10879822,20150321,
10804188,20140602,
10939097,20150727,
10641122,20150317,
10935138,20150714,20150714
10933831,20150716,
10928090,20150320,
10930993,20150630,
10933372,20150414,20150414
10918342,20150519,20150520
10915700,20150515,20150515
10933050,20150408,
10909011,20150429,20150429
10962952,20151021,20151021
10928477,20150622,
10879238,20150119,20150119
10931681,20150716,20150716
10931683,20150703,20150717
10930676,20150630,
10927797,20150619,
10797489,20140515,20140515
10927810,20150619,20150620
10925089,20150317,
10866510,20141216,20141216
10924440,20150416,20150416
10919605,20150526,
10919635,20150526,20150526
10746049,20140102,
10948559,20150828,
10939201,20150727,
10657143,20140212,20140212
10657143,20150413,20150413
10912208,20150909,20150909
10942261,20150805,
10942267,20150805,20150805
10956832,20150924,
10941518,20150803,20150827
10554239,20150818,
10942226,20150805,20150805
10942250,20150805,20150816
10904618,20150420,
10904638,20150420,
10908488,20150427,20150427
10229777,20151002,20151012
10923901,20150608,
10924980,20150610,
10840559,20140918,20140918
10927401,20150617,
10927316,20150617,20150618
10949523,20150902,20150902
10944091,20150821,20150828
10621484,20151002,
10926782,20150616,20150616
10930464,20150629,
10947221,20150824,
10931736,20150702,
10924890,20150708,20150708
10926718,20150818,
10926764,20150616,20150616
10922957,20150616,
10924227,20150608,20150608
10761869,20140211,
10921891,20150601,
10916953,20150731,
10914930,20150727,20150727
10918098,20150924,
10918169,20150526,
10935863,20150716,
10937137,20150721,20150721
10937140,20150721,
10935882,20150716,
10914666,20151030,
10914675,20150515,20150518
10962812,20151014,
10216507,20140218,
10905342,20150518,20150518
10411531,20111214,
10905040,20150421,
10923655,20150309,
10926826,20150317,
10924666,20150609,
10942110,20150818,
10952000,20151002,20151003
10797552,20141224,
10909646,20150430,20150430
10909672,20150518,
10906185,20150422,20150422
10906206,20150422,20150422
10945037,20150917,20150917
10926403,20150316,20150316
10800387,20150316,20150326
10917864,20150518,
10936914,20150917,20150917
10936921,20150721,
10935598,20150806,
10914432,20150309,20150309
10415997,20150116,20150116
10914476,20150515,
10914477,20150909,
10908505,20150427,20150427
10908524,20150427,
10908559,20150629,
10184816,20150909,
10916943,20150518,
10922137,20150917,20150917
10923414,20150608,
10921006,20150601,20150601
10977931,20151112,
10907376,20150428,
10920747,20150527,20150527
10920756,20150527,20150527
10973497,20151030,
10640837,20131224,20131224
10918253,20150519,20150520
10919507,20151007,
10792637,20140606,
10785138,20140522,
10793914,20140115,
10793914,20140513,20140514
10919567,20150526,20150530
10920784,20150624,
10918235,20150519,20150519
10918235,20150917,20150917
10946645,20150821,20150822
10923013,20150608,20150608
10821793,20140320,20140320
10821793,20140721,
10821793,20141119,
10898557,20150324,
10907695,20150427,
10907703,20150427,
10907737,20150427,
10918936,20150522,20150522
10950942,20150909,20150909
10100758,20120214,
10909704,20150518,
10909709,20150529,
10909710,20150430,20150430
10909725,20150430,20150430
10752569,20140116,20140116
10754806,20140121,
10904829,20150420,
10894339,20150303,
10755362,20140122,20140122
10755362,20140522,
10904780,20150421,
10410339,20110726,
10914794,20150616,
10903868,20150420,20150420
10903868,20150821,20150822
10940707,20150320,
10898263,20150414,20150414
10919294,20150526,
10780612,20150211,
10869850,20150625,
10919308,20150622,20150622
10409437,20150115,20150115
10580700,20120306,
10580700,20131118,
10580700,20140317,
10905115,20150420,
10905148,20150421,
10905152,20150420,
10908590,20150427,
10981186,20151120,
10923783,20150616,20150616
10924042,20150610,
10751060,20140113,
10841739,20150622,
10757918,20140212,
10922765,20150706,20150706
10921131,20150616,
10921131,20150917,
10918700,20150217,20150217
10919847,20150526,20150526
10985449,20151029,
10921099,20150529,20150529
10916082,20150518,
10914847,20150714,20150714
10908935,20150917,
10887732,20150213,
10893245,20150227,
10916356,20150518,
10916402,20150515,20150515
10916565,20150518,
10917829,20150518,
10904923,20150420,
10904923,20150821,
10787029,20140424,
10605427,20140826,
10904533,20150423,20150423
10921466,20150601,
10927721,20150619,20150619
10921415,20150601,20150603
10898332,20150724,
10901280,20150404,
10908674,20150629,20150811
10908691,20150428,
10945214,20150818,
10887061,20151030,20151030
10890079,20150418,
10898792,20150323,
10812714,20140624,20140624
10911587,20150706,
10902368,20150414,20150414
10903378,20150917,20150929
10896292,20150314,20150314
10897821,20150518,20150518
10900011,20150327,
10920008,20150526,20150527
10917594,20150214,
10918811,20150521,20150521
10918817,20150218,
10918843,20150526,
10918844,20150526,
10919991,20150526,20150526
10909562,20150430,20150430
10923297,20150616,20150617
10906482,20150427,
10906487,20150427,20150427
10907601,20150427,20150427
10755419,20150129,
10923552,20150608,
10923569,20150310,
10954233,20150526,20150526
10930770,20150407,
10907548,20150408,
10898087,20150518,20150518
10052717,20110722,20110722
10893761,20150304,20150305
10895003,20150309,
10443552,20111205,
10892335,20150224,20150224
10892376,20150224,
10906818,20150424,20150424
10906832,20150428,
10906864,20150526,
10904953,20150421,
10945611,20150420,20150420
10888076,20150216,20150216
10839532,20140915,20140915
10898512,20150320,
10898530,20150331,
10898609,20151201,20151201
10870124,20141227,
10894945,20150306,
10876810,20150113,20150114
10915885,20150518,
10910069,20150501,20150501
10897541,20150213,
10899696,20151201,
10710197,20131111,
10900322,20150331,
10894372,20151201,
10895696,20151210,20151212
10926799,20150317,20150317
10917298,20150214,
10952836,20150616,
10918575,20150521,
10169149,20110716,
10915993,20150515,20150515
10915102,20150515,20150515
10867364,20141218,
10690429,20131029,
10903694,20150418,
10889952,20150216,20150216
10900855,20150415,
10902792,20150414,20150414
10902840,20150515,
10902843,20150515,
10869436,20150924,20150924
10856887,20141114,
10790612,20150202,20150205
10917254,20150518,20150518
10917254,20150917,20150918
10918504,20150521,
10906601,20150424,
10882241,20150328,
10904032,20150421,
10870521,20141229,
10819964,20140715,
10800191,20150217,
10885242,20151030,20151030
10885248,20151120,20151120
10897119,20151201,
10903087,20150420,20150420
10903087,20150821,20150822
10885814,20150213,
10885783,20150207,
10795424,20150112,20150112
10220745,20110929,
10892869,20150302,
10907192,20150425,20150426
10880898,20140612,
10837454,20140911,
10895121,20150309,
10174614,20120302,
10170424,20110917,
10170424,20131119,
10170424,20141119,20141119
10889650,20150217,
10902447,20150515,20150616
10902447,20150917,20151010
10963440,20150924,
10900043,20150414,
10900117,20150328,
10908530,20150427,
10893851,20150302,20150303
10895019,20150307,
10944085,20150314,
10944085,20150813,20150813
10894451,20150304,
10895052,20150307,
10888462,20150616,
10888490,20150312,
10392275,20120116,
10392276,20120116,
10890666,20151120,
10898942,20150414,
10700724,20140708,
10700724,20141108,20141108
10945636,20150818,
10898965,20151201,
10898910,20150415,
10884270,20151021,20151102
10789083,20140429,
10884219,20150203,
10770413,20150102,
10889415,20150213,
10925873,20150616,
10960592,20151014,
10958542,20151002,20151010
10563733,20140607,
10889571,20150617,20150617
10889571,20150216,20150216
10890982,20151112,
10886874,20150211,20150211
10882193,20151014,20151014
10882201,20150128,
10901630,20150407,
10901655,20150407,20150407
10882164,20150128,
10882169,20150128,20150128
10384178,20110725,
10880926,20150127,
10881050,20150123,20150129
10957491,20150917,
10879428,20150120,
10409658,20131017,
10409658,20141217,20141217
10891016,20151112,
10885337,20150206,
10900675,20150401,
10900709,20150401,
10311311,20131126,
10311311,20140327,
10311311,20140728,
10311311,20141126,
10940104,20150731,
10940104,20151030,20151031
10897925,20150317,
10894806,20150305,
10942012,20150818,
10896409,20150415,20150415
10930172,20150225,
10891717,20150425,20150425
10928098,20150320,
10886056,20150309,
10887826,20150212,
10888546,20151030,20151101
10133554,20120109,
10700604,20140609,
10889187,20151120,20151121
10880550,20150122,20150122
10882440,20150328,
10882450,20150328,20150329
10879242,20151021,20151021
10879381,20151007,
10878908,20150119,20150119
10880501,20150127,
10874319,20150309,
10876538,20150317,
10755447,20140122,20140122
10876634,20150128,20150128
10411331,20110927,
10886629,20151030,20151031
10886637,20151014,
10812634,20150401,20150401
10895542,20151201,20151202
10895300,20150309,20150309
10896839,20151120,20151203
10966539,20151030,
10957364,20151014,20151025
10894056,20150302,
10884665,20151105,
10903343,20150417,
10903343,20150818,20150819
10869737,20141226,20141227
10744255,20150223,20150223
10882501,20150128,20150128
10883651,20150331,
10883658,20150203,
10883690,20150331,
10793019,20140506,20140506
10896035,20150310,
10746236,20151007,
10881557,20150126,
10878983,20150119,20150119
10879160,20150119,
10875393,20150413,
10875394,20150410,20150410
10891844,20150223,20150223
10891891,20150223,
10889051,20150212,
10852300,20141029,
10253167,20140917,
10898389,20150120,20150120
10891746,20150519,20150519
10866621,20141217,20141218
10903011,20150416,
10900288,20150330,
10900288,20150731,
10869492,20150223,20150223
10869495,20150223,
10868562,20150909,20150913
10872615,20150103,20150103
10863321,20141216,
10747190,20140103,
10881617,20150126,
10904719,20141219,20141219
10904719,20150420,
10886062,20150211,20150211
10887091,20151112,
10888696,20150622,20150622
10888696,20150219,20150219
10888696,20150924,20150924
10888707,20151030,20151031
10088111,20111220,
10849788,20140211,20140212
10849788,20140611,20140615
10849788,20141020,20141027
10474696,20120402,
10761835,20141110,20141110
10884087,20150402,20150402
10232062,20141104,20141104
10878719,20150117,
10604667,20150917,
10752225,20140317,
10873877,20150107,20150107
10875155,20150113,
10875188,20150310,20150310
10875193,20150310,
10877402,20150316,
10865056,20141216,
10865090,20150917,
10781535,20150213,20150213
10864790,20150828,20150828
10917830,20150518,20150518
10887197,20150212,20150212
10883751,20150131,
10868895,20141223,
10868897,20141223,
10879286,20151021,20151031
10880613,20150123,
10897000,20150413,20150413
10941339,20150303,
10895421,20150321,20150323
10928247,20150629,20150722
10892787,20150225,20150225
10749927,20140905,
10874110,20150108,
10872854,20150105,
10872856,20150105,
10871150,20141201,20141201
10590538,20150305,
10231557,20140122,20140122
10868300,20150909,
10883163,20150130,
10868268,20141223,
10873347,20150106,20150106
10773200,20141216,20141216
10873366,20150106,20150106
10876031,20150313,
10910375,20141230,20141230
10910375,20150821,
10869801,20141230,
10878424,20150515,20150516
10864824,20141213,
10863166,20141208,
10863166,20150402,
10941155,20150803,
10941155,20151105,
10709598,20140809,
10874936,20150109,20150109
10874939,20150309,
10866787,20141217,
10874926,20150109,20150109
10708328,20150904,20150914
10869890,20150223,
10869892,20150223,20150223
10881628,20150325,
10919866,20150126,
10919866,20150826,
10880387,20150323,
10877745,20151014,20151015
10884627,20150413,
10876809,20150414,20150415
10215894,20110711,
10872253,20150102,
10865146,20141216,
10747167,20140303,
10747167,20140903,
10748434,20140908,
10748859,20140317,20140317
10748859,20140716,20140716
10869006,20141226,20141229
10866237,20141216,
10904089,20150420,
10904089,20150821,
10883828,20150204,
10947269,20150828,
10868926,20141225,20141227
10868958,20150116,
10868992,20150116,20150116
10882078,20150127,20150127
10757785,20150415,20150415
10882898,20150330,20150330
10868032,20141220,20141220
10868035,20141220,
10868040,20141223,
10868042,20141220,
10879774,20150121,20150121
10881355,20150124,
10882795,20150601,
10761669,20141208,20141208
10761687,20140208,20140208
10875778,20150112,
10863522,20141209,20141209
10954422,20150917,20150917
10878081,20151002,20151030
10901004,20150522,
10901004,20150420,20150420
10868652,20141223,
10866897,20150917,
10874644,20151007,20151007
10876885,20150917,20150918
10876916,20151201,20151215
10872628,20150106,
10938871,20150724,
10871677,20150116,
10873546,20150106,
10875356,20151029,20151029
10866872,20141119,
10169728,20120216,
10169729,20120216,
10866563,20150917,20150918
10883205,20150203,
10875289,20150608,
10875289,20150110,20150110
10877842,20150116,
10877862,20150314,
10879114,20151021,20151021
10890719,20151112,
10459248,20140212,
10876465,20150316,
10949525,20150901,20150901
10877851,20150316,20150316
10877851,20150917,
10864945,20150917,
10863187,20150909,
10863189,20150909,20150921
10864205,20141117,
10864229,20141212,
10871592,20150102,
10911577,20150904,20150906
10864925,20141215,
10875868,20150312,
10879634,20151007,20151007
10910294,20141230,
10862639,20141204,
10881777,20150526,20150526
10881777,20150126,
10867781,20150917,20150917
10867814,20150917,20150917
10867926,20150917,20150924
10880462,20150323,20150323
10880474,20150330,
10879654,20150321,
10881791,20151014,20151014
10881311,20150124,
10875483,20150311,20150311
10869332,20150223,
10869332,20151029,
10878108,20150415,
10883272,20150130,
10872455,20151014,20151015
10862915,20141208,
10856537,20150818,20150818
10663046,20140222,
10914797,20150616,
10914797,20141115,
10749562,20141010,20141010
10749562,20151030,20151030
10852808,20141031,20141031
10855317,20150818,
10914199,20150110,
10871093,20141230,20141230
10869374,20141225,
10869386,20150909,20150910
10908351,20150427,20150427
10872108,20150102,
10875945,20150113,
10768182,20140222,
10908901,20141006,
10872137,20150102,
10872137,20150502,
10748266,20140107,
10748274,20140107,20140108
10881173,20150526,
10881173,20150124,
10881173,20150909,
10865776,20141215,20141215
10872561,20150106,
10863271,20150909,20150909
10879873,20150321,
10873694,20150917,20150917
10875006,20150114,
10877273,20151002,
10875380,20150112,20150112
10878752,20150117,
10874015,20150924,20150929
10873634,20150909,20150911
10872650,20150304,
10870996,20141230,20150105
10870378,20141230,
10870381,20141229,20141229
10871715,20150102,
10869181,20141224,
10873008,20150909,20150917
10873041,20150306,
10740442,20140917,20140917
10780125,20150115,20150115
10780129,20150114,20150115
10869163,20141225,20141225
10867065,20150216,20150216
10906921,20150424,
10867095,20141218,20141218
10910550,20150515,
10910645,20150515,
10910544,20150515,
10557955,20140818,
10856557,20150818,20150819
10862720,20141204,
10867533,20150924,
10853789,20141105,
10853793,20141105,
10865856,20150917,
10853811,20140805,20140805
10853816,20140805,20140805
10853821,20140805,20140805
10853823,20140805,20140807
10847658,20141013,
10899775,20150420,20150420
10874618,20150909,20150909
10903520,20141210,20141210
10891149,20150219,20150219
10870248,20150116,
10870248,20150316,
10862784,20150909,
10867630,20141219,
10867622,20141219,
10867622,20150418,
10867632,20141219,
10792953,20140507,20140507
10878175,20150316,
10878153,20150317,
10878231,20150317,
10873717,20150307,
10875049,20150110,20150110
10875052,20150110,20150110
10875089,20150410,
10872022,20151201,
10864965,20150917,
10894712,20151030,20151102
10931628,20150702,
10296911,20140721,20140721
10296911,20150821,
10870731,20150130,20150131
10857231,20140930,
10848797,20150716,
10848800,20150716,
10868184,20150921,
10944492,20150126,20150126
10944492,20150813,
10881281,20150221,
10369254,20110926,
10885869,20150408,20150418
10883951,20150401,
10875107,20150310,
10938244,20150317,
10876917,20150316,
10878362,20150316,
10881695,20150325,20150325
10878662,20150317,
10804000,20140805,
10790083,20140701,
10868061,20140630,
10868061,20141222,
10761742,20140408,20140408
10877314,20150316,20150316
10704277,20140721,
10859343,20141121,20141123
10785642,20140422,
10863721,20141210,
10869187,20150116,
10875500,20150113,20150113
10799487,20140519,
10875569,20150112,
10868038,20141223,
10868039,20141220,20141220
10853532,20150818,
10944150,20150130,
10851884,20141028,
10871928,20150102,20150102
10870508,20141229,
10899951,20140108,20140108
10870528,20141229,
10870547,20141229,
10871854,20150106,
10871864,20150102,
10869313,20150924,20150924
10862563,20141204,20141204
10954397,20150917,20150917
10862300,20141204,
10856600,20150818,20150819
10852461,20141030,
10887908,20151030,20151030
10215568,20140922,
10215568,20151021,20151023
10825574,20141011,
10874816,20150409,
10814290,20140716,20140716
10871775,20150116,
10871822,20151002,20151002
10871824,20150102,20150102
10863368,20150909,20150909
10692670,20140507,20140507
10748027,20140107,
10748027,20140507,20140508
10847770,20141013,
10710626,20140818,20140818
10846444,20141010,20141010
10847767,20141014,
10881006,20150123,20150124
10877103,20150317,
10878272,20150518,20150518
10878302,20150120,
10859177,20150121,20150121
10149101,20111201,
10860567,20141126,20141126
10878271,20150415,
10857931,20140805,
10670776,20140320,
10957593,20151002,
10847133,20150714,
10869962,20150223,20150223
10870005,20141226,20141226
10866286,20150917,20150918
10882754,20150330,
10852949,20141031,
10852960,20141031,
10742151,20140916,20140916
10848905,20141216,20141216
10845138,20141006,
10847467,20150714,
10858314,20141118,
10442281,20111203,
10856734,20150411,20150411
10856734,20150813,20150813
10897060,20150818,
10855468,20150818,
10855472,20150818,
10851002,20141023,20141024
10310334,20110715,
10854648,20141129,
10854648,20150330,
10854648,20150731,
10862075,20141202,
10851701,20150731,
10859506,20141125,
10888309,20151030,
10850321,20150818,
10900665,20141022,
10848741,20141016,
10846911,20141010,20141010
10846911,20150210,20150210
10844962,20141006,
10844993,20150703,20150703
10845017,20150703,
10846569,20150714,20150714
10862084,20141202,20141202
10934108,20150714,
10859569,20141216,20141216
10860987,20141216,
10854881,20150810,
10854912,20141110,20141110
10853970,20141201,
10846015,20141008,
10852316,20151029,20151029
10852351,20141029,20141029
10846498,20141010,
10849956,20140721,
10817190,20140708,
10139688,20150803,
10843060,20150625,
10844350,20141016,
10859522,20141202,20141203
10897515,20151120,
10232084,20111007,20111007
10232084,20140207,
10848598,20141016,20141016
10696885,20150724,20150724
10843394,20140926,
10827591,20140808,20140808
10851235,20150724,
10851227,20150724,20150724
10859246,20141120,20141124
10826626,20140806,
10828436,20140812,
10391588,20140703,20140703
10846375,20150716,
10846396,20141208,
10217322,20150917,20150917
10861891,20150903,20150903
10855996,20141112,
10401096,20110725,
10809453,20140617,
10850661,20141022,
10895171,20150309,
10894996,20151112,20151112
10851367,20150624,
10816875,20150408,20150408
10846959,20140710,
10844103,20140930,20140930
10858653,20141119,
10793374,20140514,
10860152,20150826,
10859860,20141124,
10851300,20150724,20150828
10853747,20141105,
10835440,20141006,
10835440,20150202,
10861567,20150901,20150901
10957310,20151014,
10857826,20141216,
10857827,20150716,
10807441,20140612,20140613
10475717,20120131,
10826396,20140805,
10840260,20150824,
10839744,20150622,
10839787,20140916,
10741420,20150213,
10844545,20141001,
10844548,20141001,20141001
10860464,20141202,
10853183,20150803,20150803
10697286,20140625,
10849174,20150724,
10850410,20141022,
10895469,20141111,20141111
10849522,20150721,20150721
10843149,20140925,
10848089,20141014,20141014
10893213,20151105,20151105
10890248,20150418,
10853508,20150821,20150826
10859972,20150828,20150828
10552409,20150818,20150818
10923707,20150204,
10835873,20150818,
10691711,20140604,
